company,country,icp_fit,icp_signals,description,founder,public_contact,website,source
Carag,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","Carag offers specialized engineering and Medical Device consulting services that provide its clients with advantages in their markets without taking center stage itself. The broad range of services starts with technical feasibility checks and continues with product development through marketing approvals, regardless of the regulatory complexity.",(enrich from site),(enrich from site),https://www.carag.com/en/,SimplerQMS directory
The Tao of Excellence,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","The Tao of Excellence is a team of experts that provide hands-on support and specialist services for Medical Device manufacturers. The firm assists clients within areas like Regulatory Strategy, Compliance, Audit readiness, Certification, and Quality Management System related topics.",(enrich from site),(enrich from site),https://taoexcellence.ch/,SimplerQMS directory
Trinzo,Switzerland,GOOD,"boutique/specialist, regulatory/QA focus","Trinzo is a consultancy that works with Medical Device companies to help solve their quality and regulatory compliance challenges. The firm applies a personalized approach to the customer’s needs and provides a wide range of services, including, Quality and Regulatory Compliance & Remediation, Project Management, Lean Quality Systems, Interim Leadership, and Talent Acquisition.",(enrich from site),(enrich from site),https://www.trinzo.com/,SimplerQMS directory
QUNIQUE,Switzerland,GOOD,regulatory/QA focus,"QUNIQUE is a consulting company that provides Medical Device companies with customized solutions for Quality Management Systems (QMS), supporting the implementation of new processes and training personnel appropriately. Its services cover the whole range, from creating a template or a standard operating procedure (SOP) to implementing a full QMS in compliance with the regulations.",(enrich from site),(enrich from site),https://quniquegroup.com/,SimplerQMS directory
GMB Services,Switzerland,GOOD,regulatory/QA focus,"GMB Services is a multi-disciplinary consulting company providing solutions for complex Medical Devices. GMB Services can assist companies within specific or all PLM phases. Moreover, the firm provides services within areas like Regulatory Affairs and Quality Assurance consulting services (CE marking, FDA submission, QMS).",(enrich from site),(enrich from site),https://gmb-services.com/,SimplerQMS directory
Meditec Consulting,Switzerland,GOOD,regulatory/QA focus,"Meditec Consulting is a firm that specializes in Regulatory and Quality Consulting services throughout the product life-cycle to help manufacturers comply with these regulatory requirements. Firms consultants have many years of experience with different regulations in various countries for medical devices, In-vitro Diagnostics, Combination Products, Pharmaceuticals, and Biologics.",(enrich from site),(enrich from site),https://www.meditec-consulting.ch/,SimplerQMS directory
Aston Life Sciences,Switzerland,GOOD,regulatory/QA focus,"Aston Life Sciences offers Consulting and Recruitment services for its clients in the Life Sciences Industries like Pharma, Biotech, Medical Devices, Cosmetic, Diagnostic, Drug Delivery Devices, and others. The firm is usually involved in consulting projects like Engineering, Quality Assurance, Regulatory Affairs, Clinical Trials, GxP information systems, and more.",(enrich from site),(enrich from site),https://www.consultys.ch/,SimplerQMS directory
ATP-CGPharm Group,Switzerland,GOOD,regulatory/QA focus,"The ATP-CGPharm Group is a consultancy that helps to support the improvement of the manufacturing processes and quality programs to ensure medical product quality, patient safety, and strict compliance with regulatory requirements. The company offers a broad range of services in GxP Engineering, Commissioning, Qualification & Validation, Quality Assurance, Quality Control, and Environmental Monito",(enrich from site),(enrich from site),https://atp-cgpharm-group.com/,SimplerQMS directory
ObelysQ,Switzerland,GOOD,boutique/specialist,"ObelysQ is a dynamic consulting company providing high-level expertise and innovative tailored solutions to the Pharmaceutical industry to optimize the execution of Clinical Trials. The firm offers services like GCP consulting, GCP and GVP auditing, SOP Development, Health Authority inspections, Training and Gap Analysis.",(enrich from site),(enrich from site),https://obelysq.com/en/home,SimplerQMS directory
Intilaris LifeSciences,Switzerland,GOOD,regulatory/QA focus,"Intilaris is a consulting and services company focused on helping Pharma companies to foster innovation, improve productivity and performance, and develop effective business strategies. The company delivers expertise across Strategy, Consulting, Digital, Technology, and Operations and specialize in areas like Project Management, Risk Management, Quality Management, Clinical Trial Management, Valid",(enrich from site),(enrich from site),https://pharma.intilaris.com/,SimplerQMS directory
Sensus Group,UK & Ireland,GOOD,"boutique/specialist, regulatory/QA focus","Sensus offers specialist consultancy, training and resource in delivering and implementing compliance of the new EU medical device (EUMDR 2017/745) and in-vitro (IVDR 2017/746) regulations.",(enrich from site),(enrich from site),https://sensus-group.com/,SimplerQMS directory
Meddev Solutions,UK & Ireland,GOOD,regulatory/QA focus,"Team of experienced UK based medical device consultants, working in the medical device industry for both manufacturers and notified bodies. Meddev was voted the ‘Best-In-Class’ Medical Device Regulatory Consultancy company of 2020 by MedTech Outlook magazine.",(enrich from site),(enrich from site),https://www.meddevsolutions.co.uk/,SimplerQMS directory
Confinis,UK & Ireland,GOOD,regulatory/QA focus,"Regulatory consultancy specializing in providing advice and services to the medical device, combination product, and IVDD manufacturers.Particular expertise in new product development from idea through registration to commercialization and post-market activities.",(enrich from site),(enrich from site),https://www.confinis.com/,SimplerQMS directory
Triune Technologies,UK & Ireland,GOOD,"boutique/specialist, regulatory/QA focus","Medical Device Consultancy that offers hands-on support for quality systems, including ISO 13485, 21 CFR 820, CMDCAS, auditing, gap analysis, mock regulatory inspections, process validation, regulatory submissions on 510k, CE Mark.",(enrich from site),(enrich from site),http://triunetech.co/,SimplerQMS directory
Sterile Management Systems,UK & Ireland,GOOD,regulatory/QA focus,"Auditing, training and consultancy services for medical device industry with a focus on design, quality management and regulatory compliance and special expertise in decontamination and sterilisation.",(enrich from site),(enrich from site),https://www.sterilemanagementsystems.com/,SimplerQMS directory
Lorit Consultancy,UK & Ireland,GOOD,regulatory/QA focus,"Lorit Consultancy offers consultancy, support, training and online-courses in functional safety related projects in the medical, automotive and reliability sectors. Medical: IEC 60601-1, IEC 62304, ISO 14971, IEC 62366-1, AAMI TIR57 Automotive: ISO 26262, Automotive SPICE®, SAE J3061, IEC 61508 Reliability: IEC 61709, SN 29500, FIDES and DO-178C and DO-254 Quality Management: IATF 16949, ISO 13485",(enrich from site),(enrich from site),https://lorit-consultancy.com/,SimplerQMS directory
International Device Solutions,UK & Ireland,GOOD,boutique/specialist,"Independent and nonexclusive consultant and subject matter expert for global pharmaceutical, medical device, financial and legal companies. From unmet needs to manufacturing control and scale-up.",(enrich from site),(enrich from site),https://www.idevices.ch/,SimplerQMS directory
Repower Quality,UK & Ireland,GOOD,regulatory/QA focus,"Owned by Rebecca Power, Repower Quality provides Quality Assurance consultancy and Electronic Quality Management System (EQMS) implementation support, primarily to the cGMP-regulated Pharmaceutical and Biopharmaceutical industry in Ireland.",(enrich from site),(enrich from site),https://repowerquality.com/,SimplerQMS directory
H2 Pharma Consulting,UK & Ireland,GOOD,boutique/specialist,"H2 Pharma Consulting is a specialist Consultancy Group providing comprehensive product development services to the Biotech and Pharmaceutical Industry, Research Institutions, and Academia. The scope of their services spans the spectrum of drug product development activities from early pre-clinical evaluation through to full development and product registration.",(enrich from site),(enrich from site),http://www.h2pharma.co.uk/,SimplerQMS directory
Pharma Quality Partners,UK & Ireland,GOOD,regulatory/QA focus,"Pharma Quality Partners Ltd was established in 2013 with the vision of achieving “Quality Excellence Through Partnership”.  Their Consultancy includes GMP, Pharmaceutical Quality Assurance, and Qualified Person related services.",(enrich from site),(enrich from site),https://www.pharmaqpltd.com/,SimplerQMS directory
The GMP Group,UK & Ireland,GOOD,regulatory/QA focus,The GMP Group is an international consulting company with over 40 years’ experience in Pharmaceutical Validation and Compliance Validation of Processes in line with Regulatory Requirements.,(enrich from site),(enrich from site),https://www.thegmpgroup.com/,SimplerQMS directory
bioSynergy Consulting,UK & Ireland,GOOD,regulatory/QA focus,"bio Synergy Consulting is well connected within the industry and works closely with a wide range of experts in manufacturing, testing, quality, and regulatory affairs.",(enrich from site),(enrich from site),https://www.biosynergyconsulting.co.uk/,SimplerQMS directory
Strickland Quality Assurance,UK & Ireland,GOOD,"boutique/specialist, regulatory/QA focus",Strickland Quality Assurance is an independent QA consultancy providing bespoke GCP services for the healthcare industry. All types of clinical audit and regulatory inspection support are available.,(enrich from site),(enrich from site),http://www.stricklandqa.com/,SimplerQMS directory
Purple Vigilance,UK & Ireland,GOOD,startup/SME-facing,"The aim of Purple Vigilance is to ensure patient safety, whilst maintaining compliance with legislative requirements. They aim to provide high quality and cost-effective solutions, to support the requirements of companies of all sizes.",(enrich from site),(enrich from site),http://purplevigilance.co.uk/,SimplerQMS directory
Iolite Pharma Consulting,UK & Ireland,GOOD,regulatory/QA focus,"Iolite Pharma Consulting offers a combination of Quality Assurance and Regulatory Affairs expertise, supported by a considerable senior management experience.",(enrich from site),(enrich from site),http://www.iolitepharma.com/,SimplerQMS directory
H.M. Pharma Consultancy,Austria,QUALIFY,—,H.M. Pharma Consultancy is an information-driven knowledge foundry in the service of pharmaceutical and medical device business development.,(enrich from site),(enrich from site),https://www.hmpharmacon.com/,SimplerQMS directory
"RD&C – Research, Development & Consulting",Austria,QUALIFY,—,"RD&C provides expertise and consulting for R&D projects in Life Sciences from early research to market authorization. They design, plan and manage such projects with sound expertise to guarantee optimum results and revenues.",(enrich from site),(enrich from site),http://rdc-concepts.com/,SimplerQMS directory
Vela Laboratories,Austria,QUALIFY,—,"VelaLabs is a world-wide acting, GMP-certified contract laboratory that offers in-depth analytical characterization services for proteins and provides consultancy services.",(enrich from site),(enrich from site),https://www.vela-labs.at/,SimplerQMS directory
Genau & More,Denmark,QUALIFY,—,"Genau & More provides a wide range of compliance services to Life Science companies to ensure that patient safety is never compromised and that the organization is always inspection-ready. Some of the onsite and offsite services that Genau & More offers are project management, validation, training, quality & compliance.",(enrich from site),(enrich from site),https://genauandmore.com/en,SimplerQMS directory
SAXOCON,Denmark,QUALIFY,(larger firm — de-prioritised),"SAXOCON is a consulting company that helps Medical Device and other product manufacturers test, document, and certify that their products are in compliance with regulations and guidelines both in the EU and worldwide. The firm also provides specific Medical Devices services for drug products, breathing gas pathways, in vitro diagnostic, stents, and implants.",(enrich from site),(enrich from site),https://www.saxocon.com/,SimplerQMS directory
Pharmaceutical Engineering Consultants (PEC),Denmark,QUALIFY,(larger firm — de-prioritised),Pharmaceutical Engineering Consultants (PEC) is an innovative engineering consultancy that assists and manages projects within the Life Science industry. The firm has grown into one of the leading consultancy companies in Denmark within the field of production of Medical Devices and can contribute in most phases of a device project.,(enrich from site),(enrich from site),http://www.pec.dk/,SimplerQMS directory
SPT VILECON,Denmark,QUALIFY,—,"SPT VILECON is offering customer-oriented consultancy, design, development, and construction services to the Medical Device and Pharmaceutical industries. The firm specializes in between design, development, and construction of Medical Devices on one hand, and injection molding on the other.",(enrich from site),(enrich from site),https://www.sptvilecon.com/,SimplerQMS directory
Emendo Consulting Group,Denmark,QUALIFY,—,"Emendo Consulting Group’s background-origin is within the Pharmaceutical and Food industry, but nowadays the company works across all industries, including Medical Device. The firm provides unique process expertise to all phases of a product lifecycle, from early development, the establishment of new equipment/production facilities to process optimization.",(enrich from site),(enrich from site),https://www.emendo.com/,SimplerQMS directory
AlfaNordic,Denmark,QUALIFY,"regulatory/QA focus, (larger firm — de-prioritised)","AlfaNordic is a consulting company with more than 90 employees working in the Life Science industry. The firm specializes in Pharmaceutical production, Project management, Management consulting, Validation, Production support, IT/AUT, QA/QC, Medical device, Regulatory Affairs (RA), and Pharmacovigilance (PV).",(enrich from site),(enrich from site),https://alfanordic.com/,SimplerQMS directory
Sigma Quality & Compliance,Denmark,QUALIFY,—,"Sigma Quality & Compliance offers consultancy services within various processes such as production, product development, research, testing, and purchasing. The company has a long and solid experience in both Life Science and other quality-controlled businesses.",(enrich from site),(enrich from site),https://www.sigmaqnc.com/en/,SimplerQMS directory
Nordic Pharma Consulting,Denmark,QUALIFY,—,"Nordic Pharma Consulting has solid know-how in various Pharmaceutical areas. It offers services within Project Management, Consulting, Personal Management, Business Strategy, Implementation of Business Opportunities, Industry Assessment, Business Process Optimization, Strategic Performance Measurement & Reporting, Innovation & Patents, as well as People Management.",(enrich from site),(enrich from site),http://www.nordicpharmaconsulting.com/,SimplerQMS directory
Zealth,Denmark,QUALIFY,—,"Zealth helps healthcare companies, including Pharmaceutical firms bring their products to patients. The consulting firm aims to break down the silo mentality when it comes to sales, marketing, medical and corporate affairs. Thus, its area of expertise is Marketing, Pricing, Reimbursement & Access, Medical Affairs, and Health Economics.",(enrich from site),(enrich from site),https://www.zealthcon.com/,SimplerQMS directory
TriTiCon,Denmark,QUALIFY,—,"TriTiCon is an eClinical consulting company with expertise in Clinical Data Processes and Systems. From strategy to end-user training, the TriTiCon can help Pharmaceutical companies all the way in establishing their end-to-end solution for handling clinical data. The firm focuses on areas like Subject Matter Expertise, Strategic Understanding, and Project Management.",(enrich from site),(enrich from site),https://www.triticon.com/,SimplerQMS directory
Sply,Denmark,QUALIFY,—,SPLY is a clinical trial supply consultancy and technology company working closely with innovative Pharmaceutical and Biotech organizations. The company provides consulting services wihtin clinical trial supply management and project management based on technical expertise combined with a broad understanding of the business processes within the clinical area.,(enrich from site),(enrich from site),https://www.sply.dk/,SimplerQMS directory
Solural Pharma,Denmark,QUALIFY,—,"Solural Pharma has strong expertise in all aspects of Pharmaceutical development and uses this to offer consultancy support to solve CMC development, and project management needs as well as CRO/CMO expertise providing solutions for low soluble oral drugs.",(enrich from site),(enrich from site),https://soluralpharma.com/,SimplerQMS directory
Seuss Consulting,Netherlands,QUALIFY,—,"Seuss Consulting provides various consulting services to companies within the Pharmaceutical, Biotech, Medical Device industries, and CRO & specialty suppliers. The firm specializes in business consulting services like Vendor Selection and Management, Outsourcing, Insourcing Strategies, and Company Analysis.",(enrich from site),(enrich from site),https://consultseuss.com/,SimplerQMS directory
BMclinical,Netherlands,QUALIFY,—,"BMclinical offers a unique approach to clinical trial supply and aims to simplify the Pharmaceutical companies’ supply chain whilst providing the highest level of service and patient safety. Through experience and collaboration, the company offers services like Commercial Drug Sourcing, Supply Management, and Global Distribution.",(enrich from site),(enrich from site),https://www.bmclinical.com/,SimplerQMS directory
LAP&P Consultants,Netherlands,QUALIFY,—,LAP&P is a consulting company that provides Modelling and Simulation (M&S) services to support decision making in Drug Discovery and Drug Development for Pharmaceutical and Biotechnological companies. The firm offers consulting services in the field of Quantitative Pharmacology to answer questions that arise during the Discovery and Development phases in a quantitative way.,(enrich from site),(enrich from site),https://lapp.nl/,SimplerQMS directory
PlantVision,Sweden,QUALIFY,—,"PlantVision helps Life Science companies transform manufacturing, laboratory, and quality operations using a customer-centric, integrated approach. For this, the firm provides consulting and professional services together with the market’s most complete range of industry-leading solutions in this area of Life Science.",(enrich from site),(enrich from site),https://www.plantvision.se/,SimplerQMS directory
J.F.B Consulting,Sweden,QUALIFY,—,"J.F.B Consulting has a network of consultants that brings over 40 years of experience with the goal of providing Medical Device, Pharmaceutical, and Biotechnology companies with a high level of service and dedication. The firm specializes in Strategy, Sales & Marketing, Health Economy, Market Access & Pricing, Product Planning, Supply Chain Guidance.",(enrich from site),(enrich from site),https://www.jfb-consulting.com/,SimplerQMS directory
Phase2Phase Biopharma Consulting,Sweden,QUALIFY,—,"Phase2Phase Biopharma Consulting provides CMC (Chemistry Manufacturing & Control) services for the Pharmaceutical and Biotech industry within the areas of Research, Development as well as Life Cycle Management of already commercialized products.",(enrich from site),(enrich from site),https://phase2phase.com/,SimplerQMS directory
Emmace Consulting,Sweden,QUALIFY,—,"Emmace Consulting offers services in advising and performance testing of Pharmaceutical products on a CRO-basis. Emmace Consulting has commercial experience in developing and characterizing inhaled medicinal products. Therefore, it can help customers with planning for the development of an inhaled medication, either as a new product or a generic product.",(enrich from site),(enrich from site),https://www.emmace.se/,SimplerQMS directory
Beyond Conception,Switzerland,QUALIFY,"boutique/specialist, regulatory/QA focus, (larger firm — de-prioritised)","Beyond Conception is a specialized consulting firm in the Life Sciences industry, with a focus on medical devices, packaging technologies, and information security. The company works with global organizations to design and implement cross-divisional strategic and regulatory compliance projects (EU MDR, FMD, UDI) for medical devices, product security/anti-counterfeiting, and information security.",(enrich from site),(enrich from site),https://www.beyond-conception.com/,SimplerQMS directory
Axxos,Switzerland,QUALIFY,"regulatory/QA focus, (larger firm — de-prioritised)","Axxos is a consulting company with an overall experience of more than 125 years in the Medical Device field and has collected extensive and profound expertise. Company’s main area of expertise Quality Management and can support its clients in areas like Quality Management ISO 13485, FDA Services, Clinical Evaluation, and Validation.",(enrich from site),(enrich from site),https://www.axxos.ch/en/,SimplerQMS directory
MHHC,Switzerland,QUALIFY,—,"MHHC is a Pharmaceutical consulting company that provides a full range of services for Pharmaceutical or Biotech companies planning to expand their operations into Switzerland. The firm’s service offering includes the core aspects of pharmaceutical or biotech subsidiary establishment in Switzerland – financial and legal set-up, medicinal product approvals, and required pharmaceutical licenses.",(enrich from site),(enrich from site),https://mhhc.ch/,SimplerQMS directory
PharmInsight,Switzerland,QUALIFY,—,"PharmInsight is specializing in business development and portfolio optimization for companies in Life Sciences. Its clients are in Pharmaceutical, Biotech, Medical Devices, Diagnostics, R&D industries from across the globe. PharmInsight has experience in Portfolio optimization, Out-licensing and partnering Services, In-licensing services, Strategy Consulting, and Market Access Services.",(enrich from site),(enrich from site),https://www.pharm-insight.com/,SimplerQMS directory
Phact,Switzerland,QUALIFY,"regulatory/QA focus, (larger firm — de-prioritised)","Phact is a Swiss-based company and operates worldwide and specializes in supporting companies in different areas of Drug Regulatory Affairs. The company provides support in the fields of Quality, Quality Management, GMP, Regulatory Affairs, and Training. Its customers come from all over the world and from all sectors of the Pharmaceutical and Biotech industry.",(enrich from site),(enrich from site),https://phact.ch/,SimplerQMS directory
THAY Medical,UK & Ireland,QUALIFY,—,"THAY Medical is a new innovative Human Factors Engineering consultancy based in the UK. They are an organization focused on providing expertise on human factors for medical products. This includes medical devices, healthcare systems, and pharmaceutical (Drug delivery) devices.",(enrich from site),(enrich from site),https://www.thaymedical.com/,SimplerQMS directory
Haughton Design,UK & Ireland,QUALIFY,—,"Haughton Design’s product design & medical device development services were created to deliver a first-class solutions to their clients. They provide a complete package, from concept design to industrialization, rather than just producing ‘aesthetic, blue sky’ design work.",(enrich from site),(enrich from site),https://haughtondesign.co.uk/,SimplerQMS directory
Psephos Biomedica,UK & Ireland,QUALIFY,—,Psephos Biomedica was founded in 2001 and works with clients from around the world to help them bring medical technologies to market. They pride themselves on high focus and experienced team.,(enrich from site),(enrich from site),https://www.psephos.com/,SimplerQMS directory
Flintloque Management Systems,UK & Ireland,QUALIFY,—,Flintloque implements an International Management System Standard to help their customers access restricted markets and get a step ahead of their competition. Flintloque is a leading consultancy with rich experience.,(enrich from site),(enrich from site),https://www.flintloque.co.uk/,SimplerQMS directory
Arevna Consulting,UK & Ireland,QUALIFY,"regulatory/QA focus, (larger firm — de-prioritised)","Arevna Consulting is a global solutions provider with over 20 years’ industry experience specializing in Quality and Regulatory compliance for Small, Medium, and Large scale Medical device manufacturers.",(enrich from site),(enrich from site),https://www.arevnaconsulting.com/,SimplerQMS directory
Springboard Pro,UK & Ireland,QUALIFY,—,Springboard specializes in the development of medical devices from concept to manufacture for regulated markets.,(enrich from site),(enrich from site),https://www.springboard.pro/,SimplerQMS directory
Prosum Medical,UK & Ireland,QUALIFY,—,"Prosum specializes in the design, development, manufacture, commercialization, and distribution of medical devices for the global healthcare market.",(enrich from site),(enrich from site),https://www.prosummedical.co.uk/,SimplerQMS directory
AlacraMed,UK & Ireland,QUALIFY,—,Alacramed was formed as a spin-out from leading biopharma life science consultancy Alacrita. This allowed Alacramed to enhance its focus on a growing number of medical device clients.,(enrich from site),(enrich from site),https://www.alacramed.com/,SimplerQMS directory
GMP Healthcare,UK & Ireland,QUALIFY,—,A team of more than 30 permanent professionals that includes experienced pharmaceutical consultants to provide support and advice across the product life-cycle.,(enrich from site),(enrich from site),https://www.biosynergyconsulting.co.uk/,SimplerQMS directory
Clarity Compliance Solutions,UK & Ireland,QUALIFY,—,"Clarity Compliance Solutions is a leading international consultancy providing a wide range of compliance services for the regulated industries including Pharmaceutical, Biotech, Research & Development, Blood, Medical Device, and associated equipment and system suppliers.",(enrich from site),(enrich from site),https://www.clarity-compliance.com/,SimplerQMS directory
Commala,UK & Ireland,QUALIFY,—,"Commala specializes in the development of medical devices and combination products, including planning, project managing, design history file compilation, and safety risk management. More than 13 years of experience in Pharmaceutical Medical Device and Combination Product development.",(enrich from site),(enrich from site),https://www.commala.co.uk/,SimplerQMS directory
The Electrospinning Company,UK & Ireland,QUALIFY,—,Electrospinning supports the development of electrospun medical devices from concept or prototype to the market with over 30 years of combined experience in biomedical electrospinning.,(enrich from site),(enrich from site),https://www.electrospinning.co.uk/,SimplerQMS directory
QVigilance,UK & Ireland,QUALIFY,—,QVigilance is committed to delivering quality-driven pharmacovigilance services with a focus on clinical trial and post-authorization needs.,(enrich from site),(enrich from site),https://www.qvigilance.com/,SimplerQMS directory
Compliance Angels,UK & Ireland,QUALIFY,—,"Compliance Angels, a consultancy company, which provides comprehensive, expert, and quality compliance advice and services to the pharmaceutical industry.",(enrich from site),(enrich from site),https://complianceangels.com/index.html,SimplerQMS directory
Drive Phase PV,UK & Ireland,QUALIFY,—,"Drive Phase PV provides pharmacovigilance and device-vigilance support and auditing in both clinical and post-marketing settings, with particular expertise in oncology and biologics.",(enrich from site),(enrich from site),https://www.drivephasepv.com/,SimplerQMS directory
Alacrita Consulting,UK & Ireland,QUALIFY,—,"Alacrita is ready to support you through every step of the pharmaceutical product development process, leveraging their scientific, clinical, and commercial expertise to help you maximize value at each stage.",(enrich from site),(enrich from site),https://www.alacrita.com/,SimplerQMS directory
ZigZag,UK & Ireland,QUALIFY,—,"Zigzag has offices located in the UK, USA, and Singapore as well as a consultant network that extends our team to more than 70 experienced QA professionals based around the world.",(enrich from site),(enrich from site),http://www.stricklandqa.com/,SimplerQMS directory
CommQP,UK & Ireland,QUALIFY,—,Mukesh Patel established CommQP with the purpose of providing a combination of technical and commercial consultancy services with a main focus on the Pharmaceutical sector.,(enrich from site),(enrich from site),https://www.commqp.co.uk/,SimplerQMS directory
Semper Vigilance,UK & Ireland,QUALIFY,—,Semper Vigilance is an innovative company based in London that currently works with a number of pharmaceutical companies to help meet their pharmacovigilance requirements.,(enrich from site),(enrich from site),http://www.sempervigilance.com/index.html,SimplerQMS directory
